"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 14:43:33 GMT 2024","Tue Jan 30 14:44:10 GMT 2024","37241","","test_hoff","","","","test_basket_emptify[firefox]",""
"passed","Tue Jan 30 14:43:17 GMT 2024","Tue Jan 30 14:43:33 GMT 2024","16115","","test_hoff","","","","test_computer_tables[firefox]",""
