"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 17:50:14 GMT 2024","Wed Feb 14 17:50:57 GMT 2024","43337","firefox","","","","","Basket Emptify","This test attempts to add couple items to the basket and then emptify it."
"passed","Wed Feb 14 17:48:29 GMT 2024","Wed Feb 14 17:48:43 GMT 2024","14105","firefox","","","","","Computer Tables","This test attempts to check computer tables page."
