"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 14 15:50:55 GMT 2024","Wed Feb 14 15:51:41 GMT 2024","46283","","test_hoff","","","","Basket Emptify","This test attempts to add couple items to the basket and then emptify it."
"passed","Wed Feb 14 15:50:35 GMT 2024","Wed Feb 14 15:50:55 GMT 2024","19841","","test_hoff","","","","Computer Tables","This test attempts to check computer tables page."
