"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 06:51:21 GMT 2024","Thu Feb 01 06:52:03 GMT 2024","42070","","test_hoff","","","","Basket Emptify","This test attempts to add couple items to the basket and then emptify it."
"passed","Thu Feb 01 06:51:02 GMT 2024","Thu Feb 01 06:51:20 GMT 2024","18643","","test_hoff","","","","Computer Tables","This test attempts to check computer tables page."
